research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater02,utility_rater02
CES201606,796,19,can,aanduiden van een bepaald punt,aanduiden bepaald punt,indicate certain point,3,5
CES201606,1965,47,can,achter auto,achter auto,behind car,2,5
CES201606,1062,24,can,achter een auto binden bij een pas getrouwd stel,achter auto binden pas getrouwd stel,behind car tie newly married couple,2,5
CES201606,376,14,can,achter je auto hangen als je gaat trouwen,achter auto hangen gaat trouwen,hanging behind car is getting married,2,5
CES201606,1611,40,can,achter de huwelijksauto hangen,achter huwelijksauto hangen,hang behind wedding car,2,5
CES201606,1259,28,can,afval,afval,waste,2,5
CES201606,610,17,can,afval ingooien,afval ingooien,throwing in waste,2,5
CES201606,1012,23,can,afvalbak,afvalbak,garbage bin,2,5
CES201606,1963.1,47,can,afwas,afwas,washing up,2,4
CES201606,684,18,can,het alaminuim gebruiken voor bakjes maken ,aluminium bakjes,aluminum containers,2,5
CES201606,1379,30,can,aluminium folie in eenpuntzakje vouwen,aluminium folie puntzakje vouwen,folding aluminum foil cone,4,5
CES201606,1534,38,can,als asbak gebruiken,asbak,ashtray,2,5
CES201606,1815,45,can,asbak,asbak,ashtray,2,5
CES201606,2017,48,can,auto mee maken,auto,car,3,3
CES201606,1708,43,can,auto vouwen,auto vouwen,car folding,3,3
CES201606,451,15,can,autootje,autootje,little car,3,3
CES201606,1715,43,can,bakje,bakje,tub,2,5
CES201606,280,13,can,bakje om dingen in te bewaren,bakje dingen bewaren,store things in container,2,5
CES201606,1121,25,can,bal,bal,ball,3,4
CES201606,2149,51,can,gebruiken als bal voor spelletjes zoals voetbal,bal spelletjes zoals voetbal,ball games like football,3,4
CES201606,606,17,can,met een bal tegen een stapel blikken gooien,bal tegen stapel blikken gooien,throw ball against pile of cans,2,5
CES201606,600,17,can,begraven,begraven,bury,2,5
CES201606,454,15,can,behang (als je er maar gneoeg naast elkaar plakt),behang,wallpaper,4,3
